AppID,AppType,Followers,Positive_rev,Negative_rev,Positive_rev_per,Steam reviews,PlayTracker,VG Insights,SteamSpy
704310,Game,76,11,7,61.11%,540,131.7 k,720,4.0 k
619150,Game,"32,140","5,892",523,91.85%,160.4 k,515.8 k,218.6 k,574.0 k
1373890,Game,48,1,0,100.00%,20,,60,1.0 k
1869200,Game,38,16,0,100.00%,320,,510,1.0 k
392030,Game,"1,472",94,9,91.26%,3.6 k,147.2 k,5.9 k,5.0 k
605850,Game,180,49,14,77.78%,1.9 k,203.8 k,2.6 k,10.0 k
441670,Game,422,263,68,79.46%,11.6 k,522.8 k,20.0 k,30.0 k
962150,Game,868,23,7,76.67%,750,,1.1 k,3.0 k
50990,Game,301,86,11,88.66%,1.9 k,29.1 k,4.8 k,7.0 k
648510,Game,126,8,3,72.73%,330,7.1 k,505,1.0 k
1071070,Game,10,2,0,100.00%,50,,60,7.0 k
2011540,Game,20,,,,,,150,
1761740,Game,136,27,9,75.00%,720,,1.1 k,5.0 k
538700,Game,166,1,2,33.33%,105,47.5 k,153,1.0 k
1564150,Game,297,27,1,96.43%,560,,840,1.0 k
726870,Game,498,35,4,89.74%,975,,894,2.0 k
1074390,Game,22,5,0,100.00%,100,,150,2.0 k
1554780,Game,73,17,3,85.00%,400,,600,7.0 k
1065750,Game,141,59,4,93.65%,1.6 k,,1.9 k,6.0 k
714780,Game,257,37,5,88.10%,1.3 k,191.6 k,1.7 k,17.0 k
1321040,Game,154,58,1,98.31%,1.2 k,,1.8 k,2.0 k
1204930,Game,873,84,0,100.00%,2.1 k,13.2 k,2.5 k,6.0 k
1588760,Game,353,89,12,88.12%,2.0 k,118.1 k,3.0 k,1.0 k
924740,Game,348,22,17,56.41%,780,,1.2 k,1.0 k
416340,Game,294,27,5,84.38%,1.1 k,263.4 k,1.6 k,3.0 k
242610,Game,326,16,3,84.21%,570,258.9 k,978,1.0 k
1613340,Beta,1,,,,,,,
1168980,Game,279,6,15,28.57%,420,,630,2.0 k
1277340,Game,12,2,0,100.00%,40,,60,6.0 k
1233610,Game,191,1,5,16.67%,120,,180,2.0 k
302610,Game,"1,111","1,432",117,92.45%,54.2 k,1.17 M,91.8 k,230.0 k
1638730,Game,10,,,,,,,
1484150,Game,51,2,2,50.00%,80,,120,3.0 k
1850710,Beta,6,,,,,20.3 k,,
922520,Game,62,19,0,100.00%,475,,724,2.0 k
1743770,Beta,37,,,,,,,
1157200,Game,25,4,0,100.00%,80,,150,1.0 k
1862100,Game,11,5,0,100.00%,100,,150,1.0 k
2022020,Game,107,13,6,68.42%,380,,570,6.0 k
1099400,Application,590,32,14,69.57%,1.2 k,,1.8 k,69.0 k
1604610,Game,37,,,,,,270,
503060,Game,115,16,0,100.00%,560,9.5 k,717,2.0 k
1275970,Game,106,3,6,33.33%,180,,270,1.0 k
847490,Game,17,4,0,100.00%,100,23.4 k,144,8.0 k
1101580,Game,"11,329",337,139,70.80%,9.5 k,62.2 k,14.3 k,
201010,Game,517,101,7,93.52%,2.2 k,888.6 k,6.2 k,82.0 k
837610,Game,"6,373",429,62,87.37%,12.3 k,166.6 k,11.7 k,34.0 k
1029870,Game,356,59,17,77.63%,1.5 k,18.9 k,2.3 k,4.0 k
205690,Game,567,256,70,78.53%,13.0 k,566.7 k,25.1 k,127.0 k
632240,Game,31,2,0,100.00%,60,4.5 k,100,2.0 k
1774150,Beta,1,,,,,,,
898910,Game,95,15,0,100.00%,375,,564,1.0 k
1042930,Game,72,17,11,60.71%,560,,840,4.0 k
109500,Game,81,106,74,58.89%,7.2 k,324.2 k,13.5 k,38.0 k
539290,Game,197,39,53,42.39%,2.8 k,97.6 k,3.0 k,26.0 k
1603600,Game,82,3,1,75.00%,80,,120,6.0 k
489100,Game,118,8,1,88.89%,315,4.3 k,660,1.0 k
1310620,Game,18,1,0,100.00%,20,,30,5.0 k
740450,Game,16,2,0,100.00%,60,2.8 k,55,2.0 k
1646090,Game,102,14,0,100.00%,280,,420,1.0 k
448670,Game,332,57,33,63.33%,3.2 k,38.9 k,5.1 k,11.0 k
1956110,Game,149,5,8,38.46%,260,,390,
542740,Game,61,57,75,43.18%,4.6 k,1.38 M,7.4 k,77.0 k
687980,Game,"1,104",361,20,94.75%,11.4 k,235.5 k,15.3 k,35.0 k
612120,Game,187,9,8,52.94%,510,3.0 k,850,1.0 k
1259000,Game,674,192,54,78.05%,4.9 k,,7.4 k,58.0 k
1380060,Game,224,17,9,65.38%,520,,780,2.0 k
814560,Game,15,1,0,100.00%,20,,30,4.0 k
701100,Game,602,50,17,74.63%,2.0 k,186.3 k,2.8 k,35.0 k
1407060,Game,135,21,5,80.77%,520,,780,23.0 k
1495860,Game,"1,947",233,16,93.57%,5.0 k,61.8 k,7.5 k,12.0 k
1126970,Game,23,2,0,100.00%,50,,60,2.0 k
1639530,Game,734,5,5,50.00%,200,,300,2.0 k
1995420,Game,279,11,2,84.62%,260,,420,
358000,Game,112,15,15,50.00%,1.1 k,162.0 k,1.8 k,18.0 k
1856080,Game,10,0,2,0.00%,40,,60,1.0 k
239430,Game,"4,904","1,481",298,83.25%,62.3 k,3.66 M,169.3 k,530.0 k
961490,Game,"2,518",335,63,84.17%,10.0 k,88.2 k,14.5 k,13.0 k
363500,Game,608,36,3,92.31%,1.4 k,48.0 k,1.7 k,1.0 k
286750,Game,472,102,37,73.38%,4.9 k,268.0 k,5.2 k,39.0 k
388080,Application,"7,114","2,663",349,88.41%,105.4 k,1.18 M,142.8 k,207.0 k
1565630,Game,33,4,0,100.00%,80,,120,14.0 k
1751800,Game,285,49,8,85.96%,1.1 k,,1.7 k,
925360,Game,49,5,1,83.33%,150,,190,1.0 k
482300,Game,"2,255",676,295,69.62%,34.0 k,792.7 k,36.4 k,69.0 k
964910,Game,99,4,7,36.36%,220,,360,2.0 k
16130,Game,512,70,12,85.37%,3.3 k,38.4 k,4.8 k,15.0 k
1716950,Game,49,15,0,100.00%,300,,450,2.0 k
411530,Game,157,29,9,76.32%,1.3 k,252.4 k,1.6 k,4.0 k
237430,Game,"12,749","1,127",289,79.59%,28.3 k,901.2 k,176.7 k,197.0 k
1843720,Beta,7,,,,,,,
485120,Game,719,145,29,83.33%,6.1 k,604.9 k,8.4 k,25.0 k
1907570,Game,88,17,4,80.95%,420,,630,
528670,Game,61,17,12,58.62%,1.0 k,357.1 k,1.3 k,530.0 k
417540,Application,99,8,6,57.14%,490,,792,44.0 k
1496530,Game,26,1,2,33.33%,60,,90,5.0 k
465070,Game,396,,,,,45.1 k,1.3 k,4.0 k
448010,Game,240,32,6,84.21%,1.3 k,432.0 k,25.3 k,10.0 k
782630,Game,223,11,4,73.33%,375,148.1 k,619,22.0 k
1162170,Game,"1,410",47,26,64.38%,1.8 k,13.5 k,2.2 k,
1941850,Game,31,2,2,50.00%,80,,120,2.0 k
1467740,Game,112,17,12,58.62%,580,,870,7.0 k
1212930,Game,80,7,1,87.50%,160,13.5 k,240,5.0 k
1580990,Game,18,,,,,,,
1975670,Game,521,112,9,92.56%,2.4 k,19.5 k,3.6 k,1.0 k
1808480,Game,33,3,5,37.50%,160,,240,1.0 k
818070,Game,88,0,1,0.00%,25,,30,4.0 k
1271190,Game,"8,170",448,183,71.00%,12.6 k,78.3 k,19.0 k,23.0 k
944590,Game,179,31,3,91.18%,850,,1.0 k,2.0 k
1299400,Game,775,494,39,92.68%,10.7 k,47.0 k,16.0 k,25.0 k
958090,Game,334,28,8,77.78%,900,,1.3 k,1.0 k
607040,Game,297,58,17,77.33%,2.3 k,271.2 k,7.1 k,46.0 k
1301850,Game,687,57,18,76.00%,1.5 k,,2.3 k,23.0 k
299380,Game,331,16,47,25.40%,2.2 k,313.0 k,704,10.0 k
1626950,Game,37,4,0,100.00%,80,,120,18.0 k
342260,Game,"6,956",325,93,77.75%,14.6 k,446.4 k,28.3 k,75.0 k
1684920,Game,27,8,3,72.73%,220,,330,2.0 k
888010,Game,452,54,10,84.38%,1.6 k,,1.9 k,10.0 k
538950,Game,381,48,8,85.71%,2.0 k,269.7 k,19.2 k,44.0 k
293520,Game,"6,833",575,210,73.25%,27.5 k,432.2 k,33.0 k,68.0 k
502940,Game,"3,170",900,97,90.27%,34.9 k,162.4 k,56.0 k,41.0 k
1395560,Game,"2,226","3,018",307,90.77%,66.5 k,260.9 k,99.8 k,348.0 k
1038680,Game,107,11,11,50.00%,550,,650,1.0 k
291690,Game,"2,757",119,72,62.30%,5.7 k,166.4 k,6.6 k,9.0 k
1246200,Game,18,1,0,100.00%,20,,30,4.0 k
1581010,Game,12,0,3,0.00%,60,,90,4.0 k
1690250,Game,107,18,10,64.29%,560,,840,
653210,Game,"1,054",22,14,61.11%,1.1 k,817.2 k,3.0 k,3.0 k
267360,Game,552,429,43,90.89%,18.9 k,635.8 k,34.3 k,36.0 k
