AppID,primary genre
1418320,Indie 
1021770,Indie 
391210,Indie 
420070,Indie 
1620920,Adventure 
1570330,Casual 
922820,Casual 
1241500,Action 
484390,Action 
494720,Indie 
1201770,Indie 
503620,RPG 
550200,Indie 
1805040,Indie 
1102060,Action 
856270,Adventure 
701970,Strategy 
1114220,RPG 
1787600,Indie 
1899200,Casual 
490890,Adventure 
1225920,Strategy 
1515990,Indie 
908010,Action 
1060560,Adventure 
1402580,Simulation 
1325960,Simulation 
1707650,RPG 
1604640,Simulation 
1459540,Adventure 
849740,Simulation 
383180,Action 
355530,RPG 
1543340,Action 
458730,RPG 
549080,Strategy 
1399150,Casual 
613420,Casual 
1177990,Strategy 
1426730,Simulation 
356190,Action 
1557100,Massively Multiplayer 
1925100,Free to Play 
1439800,Casual 
775940,Strategy 
2024870,Indie 
392000,Action 
915770,Action 
299020,Casual 
1001980,Strategy 
1411870,Indie 
300300,Indie 
471550,Action 
1677180,Casual 
1957820,Indie 
733430,Early Access 
1724910,Indie 
441640,Racing 
1843350,Free to Play 
1150070,Indie 
993370,Action 
1534340,Action 
913740,RPG 
1779710,Indie 
1470150,Action 
843130,Indie 
642830,Violent 
1285630,Action 
1675410,Indie 
707010,Massively Multiplayer 
1519900,Indie 
1782740,Action 
2026690,Adventure 
769340,Action 
1140890,Action 
1905810,Casual 
1339650,Simulation 
1936030,Adventure 
1577320,Indie 
580720,Simulation 
1753090,Action 
1180520,Free to Play 
889790,Action 
749920,RPG 
517670,Action 
797450,Casual 
712000,Strategy 
745660,Indie 
421040,Indie 
289340,Strategy 
1233550,Action 
525050,RPG 
1191620,Action 
1026940,Indie 
365960,Simulation 
735060,Action 
1143780,Action 
683790,Sports 
1388650,Adventure 
1035030,Adventure 
729950,Adventure 
1497140,RPG 
1509420,Action 
223330,RPG 
1377280,Strategy 
708260,Indie 
1547990,Action 
1257810,Indie 
1260800,Indie 
386070,Strategy 
1586120,Casual 
1207650,Adventure 
511280,Indie 
694060,Indie 
1575580,Casual 
755580,Action 
1322550,Action 
1236100,Indie 
872220,Action 
795640,Action 
489720,Action 
378410,Indie 
1622060,Casual 
1604350,Action 
1659790,Action 
1414380,Action 
686910,Indie 
388660,Strategy 
330830,Adventure 
1315210,Adventure 
248710,RPG 
21680,Action 
765880,Indie 
1358270,Simulation 
305960,Action 
744420,Indie 
1236040,Early Access 
1567400,Indie 
760120,Adventure 
659560,Indie 
227480,Action 
1726280,Free to Play 
1888170,Indie 
653190,Indie 
594410,Action 
570590,Casual 
4000,Indie 
1078320,RPG 
231060,Free to Play 
1184530,RPG 
1089630,Adventure 
1928650,Adventure 
1050210,Indie 
918740,Indie 
1597400,Action 
1363090,Indie 
1169110,Indie 
1321350,RPG 
1143390,Action 
1640080,Indie 
1776940,Adventure 
1272830,Casual 
1502680,Adventure 
628580,Casual 
1167530,Action 
1776000,Simulation 
1592670,Action 
727460,Indie 
1753170,Indie 
513710,Action 
1774390,Indie 
1530,Indie 
1366720,Free to Play 
644290,Action 
1170290,Simulation 
996080,Indie 
1931050,Action 
1381530,Adventure 
1399670,Casual 
1072140,Strategy 
1659270,Adventure 
1587290,Indie 
1008320,Adventure 
1035410,Adventure 
1069710,Strategy 
353540,Indie 
749800,Action 
951110,Sports 
915430,Action 
841680,Indie 
1702260,Action 
1495990,Indie 
916510,Indie 
933660,Indie 
1464380,RPG 
1693000,Strategy 
464000,Action 
944330,Adventure 
1113680,Casual 
396820,Action 
71250,Unknown Genre 
585910,Action 
1301830,Casual 
470220,Casual 
681730,Strategy 
1689410,Action 
1173120,Indie 
1321840,Free to Play 
516840,Adventure 
755920,Indie 
1482420,Adventure 
1966610,Action 
501020,Racing 
1018380,Indie 
1219450,Action 
1093330,Indie 
589590,Adventure 
1069500,Simulation 
1374430,Simulation 
1036910,Casual 
356670,Indie 
979310,Action 
1085970,Simulation 
394690,Massively Multiplayer 
444180,Strategy 
758150,Indie 
1158320,Indie 
1640720,Simulation 
338760,Indie 
495030,Action 
1203220,Action 
1666600,Action 
1036000,Action 
241410,Indie 
650730,Indie 
933060,Indie 
1060820,Indie 
278440,Indie 
1856850,Action 
666010,Indie 
1224450,Indie 
1016890,Indie 
1542170,Indie 
2002550,Indie 
1878530,Indie 
1372120,Casual 
1506760,Indie 
38140,Unknown Genre 
1068190,Indie 
688680,RPG 
1312160,Action 
1398070,Indie 
1062000,Indie 
1129200,Casual 
1344950,Strategy 
730010,Indie 
1956630,Action 
1113090,Casual 
770370,Adventure 
795310,Indie 
11040,Adventure 
1516820,Indie 
1013670,Indie 
607120,Strategy 
601550,Indie 
265590,Strategy 
1357270,Indie 
1716660,Casual 
1440790,Action 
495140,Action 
840370,Adventure 
1983330,Adventure 
393660,Action 
461340,RPG 
1424140,Indie 
768630,Action 
860900,Action 
1126430,Action 
1132540,Indie 
473450,Indie 
1508750,RPG 
1447900,Indie 
1345280,Racing 
378750,Action 
1410840,Action 
1177300,Action 
388750,Action 
340450,Indie 
1149090,Action 
1446130,Action 
335790,Casual 
302790,Action 
527230,RPG 
958230,Action 
1626710,Casual 
680930,Indie 
800390,Casual 
1103770,Racing 
1032270,Indie 
1714010,Indie 
1568330,Casual 
1342330,Simulation 
1148080,Casual 
1785750,Simulation 
1651360,Casual 
805870,Indie 
1257190,Sports 
1081710,Simulation 
1152690,RPG 
999890,Casual 
1269500,Adventure 
1643530,Simulation 
900010,Simulation 
776930,Action 
279070,RPG 
1872200,Strategy 
1001010,RPG 
511740,Action 
1954010,Action 
1774560,Action 
1299150,Indie 
431740,Indie 
1836240,Action 
260040,Casual 
270030,Sports 
1406340,Indie 
296770,Sports 
849680,Action 
1122310,Indie 
1388330,Casual 
513960,Action 
726620,Action 
1189780,Action 
1778720,Action 
363360,Simulation 
1837160,Action 
388440,Strategy 
623180,Casual 
1716230,Casual 
1332630,Action 
1316390,Indie 
779450,Racing 
462620,Indie 
940070,RPG 
1749300,Casual 
922880,Strategy 
1772720,Indie 
461730,Action 
1389550,Simulation 
1393870,Indie 
619000,Indie 
266490,Adventure 
1517050,RPG 
94200,Indie 
1687100,Sports 
1776260,Indie 
793000,Action 
1069820,Indie 
1122690,Adventure 
745650,Casual 
1465200,Casual 
2062940,Early Access 
913250,Indie 
817640,Casual 
536890,Simulation 
765030,Action 
1146940,Action 
577940,Action 
1787960,Simulation 
1903640,Racing 
1566620,Casual 
371900,Indie 
1663170,Strategy 
319320,Casual 
422760,Indie 
1544730,Sports 
1457840,Action 
1397140,Adventure 
1383650,Simulation 
1742140,Casual 
756190,Casual 
1581050,Indie 
754270,Action 
1893490,Indie 
1641010,Casual 
1379840,Indie 
1304790,Casual 
408000,Indie 
841980,Casual 
1241380,Action 
708250,Indie 
1377800,Massively Multiplayer 
1246950,Strategy 
423610,Indie 
1389540,RPG 
1258920,Early Access 
899970,Casual 
1316800,Action 
1381500,Action 
623080,Casual 
586230,Adventure 
575030,Adventure 
821640,Indie 
986400,Action 
497590,Action 
498450,Indie 
251650,Action 
1662680,Action 
1925930,Indie 
315130,Adventure 
763890,RPG 
589780,Indie 
1262540,Racing 
1728660,Racing 
757870,Casual 
490230,Action 
628890,Simulation 
1652700,RPG 
1283720,Indie 
941410,Action 
1345200,Casual 
885640,Indie 
